origem;destino;preco;duracao
SBSV;SBCT;[718, 724, 788, 790];'[''4h 30m'', ''4h 35m'', ''5h 55m'', ''5h 50m'']'
SBSV;SBFI;[364, 429, 364, 375, 375];'[''6h 50m'', ''6h 50m'', ''6h 40m'', ''6h 25m'', ''6h 25m'']'
SBSV;SBLO;[294, 305, 314, 354];'[''12h 40m'', ''7h 35m'', ''4h 40m'', ''12h 40m'']'
SBSV;SBMG;[450, 582, 627, 630];'[''6h 25m'', ''6h 25m'', ''8h 10m'', ''14h 25m'']'
SBSV;SBCB;[870, 950];'[''6h 45m'', ''6h 45m'']'
SBSV;SBGL;[622, 702, 962, 962];'[''2h'', ''2h'', ''4h 15m'', ''5h 55m'']'
SBSV;SBSG;[462, 508, 527, 573];'[''9h 45m'', ''4h 20m'', ''9h 45m'', ''4h 20m'']'
SBSV;SSKW;[2100, 2185];'[''21h 15m'', ''21h 15m'']'
SBSV;SBPV;[944, 944, 1009, 1032];'[''7h 20m'', ''21h 45m'', ''7h 20m'', ''12h 10m'']'
SBSV;SBVH;[1253, 1333, 1378, 1458];'[''22h 55m'', ''22h 55m'', ''9h 40m'', ''9h 40m'']'
SBSV;SBBV;[1114, 1199, 1209, 1225];'[''6h 25m'', ''6h 25m'', ''15h 45m'', ''11h 10m'']'
SBSV;SBCX;[815, 869, 1470, 1545];'[''5h 45m'', ''5h 45m'', ''18h 10m'', ''18h 10m'']'
SBSV;SBPF;[710, 791, 958, 1042];'[''7h 40m'', ''7h 40m'', ''5h 25m'', ''5h 25m'']'
SBSV;SBPA;[476, 551, 500, 506, 531];'[''8h 5m'', ''8h 5m'', ''4h 55m'', ''6h 5m'', ''6h 5m'']'
SBSV;SBCH;[670, 835, 1595, 1670];'[''4h 55m'', ''4h 55m'', ''5h 50m'', ''5h 50m'']'
SBSV;SBFL;[478, 543, 501, 514, 534];'[''7h 5m'', ''7h 5m'', ''4h 35m'', ''8h 40m'', ''4h 35m'']'
SBSV;SBJV;[379, 435, 454, 500];'[''8h 15m'', ''10h 10m'', ''8h 15m'', ''10h 10m'']'
SBSV;SBNF;[387, 452, 504, 569];'[''6h 50m'', ''6h 50m'', ''14h 25m'', ''14h 25m'']'
SBSV;SBAR;[185, 250, 804, 879];'[''50m'', ''50m'', ''4h 30m'', ''4h 30m'']'
SBSV;SBAU;[557, 642, 1919, 2004];'[''7h 45m'', ''7h 45m'', ''5h 35m'', ''5h 35m'']'
SBSV;SBKP;[280, 360, 461, 467];'[''2h 25m'', ''2h 25m'', ''5h 35m'', ''2h 30m'']'
SBSV;SBGR;[250, 339, 278, 278, 316];'[''2h 30m'', ''2h 30m'', ''2h 30m'', ''2h 30m'', ''2h 30m'', ''2h 25m'']'
SBSV;SBML;[368, 448, 1961, 2046];'[''7h 35m'', ''7h 35m'', ''5h 25m'', ''5h 25m'']'
SBSV;SBDN;[430, 505, 888, 953];'[''7h 45m'', ''7h 45m'', ''8h 50m'', ''8h 50m'']'
SBSV;SBRP;[359, 380, 380, 424];'[''6h 35m'', ''6h 10m'', ''20h'', ''6h 35m'']'
SBSV;SBSR;[479, 504, 534, 544];'[''11h 35m'', ''7h 40m'', ''5h 25m'', ''11h 35m'']'
SBSV;SBSP;[550, 615, 692, 757];'[''2h 30m'', ''2h 30m'', ''2h 30m'', ''2h 30m'']'
SBSV;SBPJ;[784, 1091, 1109, 1156];'[''7h 5m'', ''6h 45m'', ''7h 25m'', ''6h 45m'']'
SBSV;SBRJ;[635, 720, 635, 698, 669];'[''14h 15m'', ''14h 15m'', ''14h 15m'', ''2h 10m'', ''7h 15m'']'
SBFZ;SBRB;[1324, 1324, 1404, 1404];'[''9h 50m'', ''28h 10m'', ''9h 50m'', ''28h 10m'']'
SBFZ;SBMO;[1502, 1671, 1800, 1865];'[''5h 50m'', ''6h'', ''7h 15m'', ''7h 15m'']'
SBFZ;SBEG;[610, 670, 709, 716];'[''3h 15m'', ''3h 15m'', ''3h 25m'', ''4h 40m'']'
SBFZ;SBMQ;[462, 509, 527, 574];'[''14h 25m'', ''6h'', ''14h 25m'', ''6h'']'
SBFZ;SNBR;[957, 1022];'[''6h 40m'', ''6h 40m'']'
SBFZ;SBIL;[1512, 1577, 2100, 2185];'[''9h 30m'', ''9h 30m'', ''9h 40m'', ''9h 40m'']'
SBFZ;SBLE;[2084, 2185];'[''17h 50m'', ''17h 50m'']'
SBFZ;SBPS;[455, 520, 1227, 1242];'[''7h'', ''7h'', ''5h 10m'', ''5h 10m'']'
SBFZ;SBSV;[171, 236, 258, 258];'[''1h 45m'', ''1h 45m'', ''1h 45m'', ''1h 45m'', ''1h 45m'']'
SBFZ;SBQV;[726, 751, 791, 807];'[''5h 35m'', ''9h 15m'', ''5h 35m'', ''9h 15m'']'
SBFZ;SBJU;[196, 261, 1080, 1155];'[''1h 5m'', ''1h 5m'', ''3h 55m'', ''3h 55m'']'
SBFZ;SBBR;[617, 742, 630, 682];'[''10h'', ''2h 40m'', ''2h 40m'', ''2h 40m'', ''5h 25m'', ''10h'']'
SBFZ;SBVT;[514, 575, 579, 640];'[''6h 30m'', ''5h 5m'', ''6h 30m'', ''5h 5m'']'
SBFZ;SBGO;[374, 380, 439, 440];'[''6h 35m'', ''4h 45m'', ''6h 35m'', ''4h 45m'']'
SBFZ;SBIZ;[350, 405, 410, 503];'[''6h 10m'', ''16h'', ''6h 10m'', ''7h 35m'']'
SBFZ;SBCF;[515, 534, 613, 661];'[''4h'', ''4h'', ''2h 45m'', ''15h 5m'']'
SBFZ;SBGV;[950, 1030];'[''6h 20m'', ''6h 20m'']'
SBFZ;SBJF;[1991, 2151];'[''22h 40m'', ''22h 40m'']'
SBFZ;SBMK;[604, 608, 673, 684];'[''9h 25m'', ''8h'', ''8h'', ''9h 25m'']'
