origem;destino;preco;duracao
SBCY;SBPS;[606, 671, 791, 789];'[''4h'', ''4h'', ''4h 55m'', ''9h 50m'']'
SBCY;SBSV;[696, 781, 696, 735, 736];'[''19h 5m'', ''19h 5m'', ''10h 5m'', ''5h 15m'', ''5h 50m'']'
SBCY;SNVB;[2100, 2185];'[''10h 30m'', ''10h 30m'']'
SBCY;SBQV;[629, 694, 694, 759];'[''10h 5m'', ''10h 5m'', ''5h 20m'', ''5h 20m'']'
SBCY;SBFZ;[1241, 1306, 1241, 1241, 1293];'[''7h 25m'', ''7h 25m'', ''6h 20m'', ''9h 20m'', ''7h 55m'']'
SBCY;SBJU;[793, 858, 872, 937];'[''8h'', ''8h'', ''6h 10m'', ''6h 10m'']'
SBCY;SBBR;[480, 600, 529, 545];'[''7h 10m'', ''1h 35m'', ''8h 5m'', ''7h 10m'']'
SBCY;SBVT;[568, 602, 629, 633];'[''6h 25m'', ''5h 15m'', ''10h 55m'', ''6h 25m'']'
SBCY;SBGO;[593, 673, 600, 620, 629];'[''1h 15m'', ''1h 15m'', ''1h 20m'', ''2h 50m'', ''15h 35m'']'
SBCY;SBIZ;[1130, 1205];'[''9h 5m'', ''9h 5m'']'
SBCY;SBSL;[767, 767, 844, 857];'[''9h 5m'', ''15h 15m'', ''7h 30m'', ''9h 5m'']'
SBCY;SBCF;[617, 682, 731, 731];'[''3h 5m'', ''3h 5m'', ''2h 10m'', ''5h 5m'']'
SBCY;SBGV;[1048, 1128, 2100, 2185];'[''9h 45m'', ''9h 45m'', ''9h 45m'', ''9h 45m'']'
SBCY;SBJF;[869, 950, 1230, 1311];'[''6h 55m'', ''6h 55m'', ''6h 15m'', ''6h 15m'']'
SBCY;SBMK;[629, 694, 776, 856];'[''7h 50m'', ''7h 50m'', ''5h 15m'', ''5h 15m'']'
SBCY;SBIP;[770, 847, 850, 927];'[''7h 55m'', ''5h 30m'', ''7h 55m'', ''5h 30m'']'
SBCY;SBUR;[2100, 2185];'[''12h 5m'', ''12h 5m'']'
SBCY;SBUL;[449, 529, 656, 686];'[''5h 50m'', ''5h 50m'', ''4h 50m'', ''27h 25m'']'
SBCY;SBCG;[279, 344, 839, 904];'[''1h 5m'', ''1h 5m'', ''4h 50m'', ''4h 50m'']'
SBCY;SBAT;[351, 431];'[''1h 15m'', ''1h 15m'']'
SBCY;SWSI;[684, 769];'[''55m'', ''55m'']'
SBCY;SBHT;[1674, 1759];'[''11h 30m'', ''11h 30m'']'
SBCY;SBBE;[753, 797, 828, 872];'[''7h 25m'', ''16h 40m'', ''7h 25m'', ''16h 40m'']'
SBCY;SBMA;[699, 789, 2100, 2185];'[''9h 45m'', ''9h 45m'', ''11h 40m'', ''11h 40m'']'
SBCY;SBSN;[2081, 2156];'[''11h 15m'', ''11h 15m'']'
SBCY;SBJP;[803, 793, 828, 893];'[''5h 15m'', ''9h 50m'', ''12h 15m'', ''12h 15m'']'
SBCY;SBKG;[881, 946, 963, 1028];'[''20h 25m'', ''20h 25m'', ''13h 35m'', ''13h 35m'']'
SBCY;SBFN;[1800, 1865, 2100, 2185];'[''7h 50m'', ''7h 50m'', ''5h 15m'', ''5h 15m'']'
SBCY;SBPL;[864, 903, 929, 968];'[''15h 50m'', ''9h 15m'', ''15h 50m'', ''9h 15m'']'
SBCY;SBRF;[752, 752, 804, 817];'[''19h 25m'', ''16h 40m'', ''3h 25m'', ''19h 25m'']'
SBCY;SBTE;[688, 694, 763, 769];'[''7h 45m'', ''12h 15m'', ''7h 45m'', ''12h 15m'']'
SBCY;SBCA;[570, 616, 618, 635];'[''4h 50m'', ''4h 25m'', ''11h 35m'', ''4h 50m'']'
SBCY;SBCT;[945, 945, 1025, 1033];'[''3h 55m'', ''8h 40m'', ''3h 55m'', ''3h'']'
SBCY;SBFI;[490, 519, 555, 584];'[''6h 20m'', ''7h 45m'', ''6h 20m'', ''7h 45m'']'
SBCY;SBLO;[662, 662, 732, 732];'[''11h 10m'', ''11h 10m'', ''11h 10m'', ''11h 10m'']'
SBCY;SBMG;[1420, 1480, 1500, 1555];'[''4h 10m'', ''7h 30m'', ''4h 10m'', ''7h 35m'']'
SBCY;SBCB;[1111, 1191];'[''5h 25m'', ''5h 25m'']'
SBCY;SBGL;[537, 537, 607, 607];'[''17h 15m'', ''8h 50m'', ''17h 15m'', ''8h 50m'']'
SBCY;SBSG;[789, 767, 805, 859];'[''8h 15m'', ''10h 25m'', ''8h 25m'', ''8h 15m'']'
SBCY;SBPV;[599, 679, 804, 804];'[''1h 45m'', ''1h 45m'', ''19h 15m'', ''19h 15m'']'
SBCY;SBVH;[735, 815];'[''1h 35m'', ''1h 35m'']'
SBCY;SBBV;[1114, 1204, 1225, 1290];'[''16h 55m'', ''16h 55m'', ''10h 35m'', ''10h 35m'']'
SBCY;SBPF;[922, 1002, 1008, 1067];'[''6h 25m'', ''5h 5m'', ''6h 25m'', ''5h 5m'']'
SBCY;SBPA;[519, 526, 552, 599];'[''5h'', ''5h 40m'', ''5h 20m'', ''5h'']'
SBCY;SBCH;[931, 1011, 1025, 1105];'[''12h 25m'', ''12h 25m'', ''7h 55m'', ''7h 55m'']'
SBCY;SBFL;[667, 742, 830, 910];'[''4h 35m'', ''4h 35m'', ''5h 5m'', ''5h 5m'']'
SBCY;SBJV;[644, 734, 740, 815];'[''6h 50m'', ''6h 50m'', ''6h 55m'', ''6h 55m'']'
SBCY;SBNF;[618, 648, 683, 714];'[''7h 55m'', ''5h 40m'', ''7h 55m'', ''5h 40m'']'
SBCY;SBAR;[970, 970, 970, 1035];'[''13h 50m'', ''14h 25m'', ''14h 25m'', ''13h 50m'']'
SBCY;SBAU;[929, 1014];'[''7h 10m'', ''7h 10m'']'
SBCY;SBKP;[807, 872, 887, 952];'[''2h'', ''2h'', ''2h'', ''2h'', ''2h'', ''2h'']'
SBCY;SBGR;[490, 555, 566, 605];'[''2h 20m'', ''2h 20m'', ''2h 20m'', ''2h 15m'', ''2h 15m'']'
SBCY;SBML;[495, 575, 642, 727];'[''7h'', ''7h'', ''6h 20m'', ''6h 20m'']'
SBCY;SBDN;[888, 963, 1484, 1549];'[''7h 10m'', ''7h 10m'', ''5h 45m'', ''5h 45m'']'
SBCY;SBRP;[523, 588, 630, 671];'[''4h 20m'', ''4h 20m'', ''5h 20m'', ''6h 25m'']'
SBCY;SBSR;[601, 649, 649, 681];'[''4h 55m'', ''6h 40m'', ''10h 10m'', ''4h 55m'']'
SBCY;SBSP;[472, 542, 630, 705];'[''2h 15m'', ''2h 15m'', ''2h 5m'', ''2h 5m'']'
SBCY;SWGN;[1046, 1111, 1221, 1286];'[''33h 55m'', ''33h 55m'', ''27h 50m'', ''27h 50m'']'
SBCY;SBPJ;[767, 767, 832, 852];'[''12h 35m'', ''12h 35m'', ''12h 35m'', ''5h 25m'']'
SBCY;SBRJ;[687, 752, 719, 719, 719];'[''11h 35m'', ''11h 35m'', ''3h 45m'', ''11h 15m'', ''16h'']'
SBBE;SBCZ;[1079, 1144];'[''8h 35m'', ''8h 35m'']'
SBBE;SBRB;[760, 775, 760, 825];'[''14h 20m'', ''27h 30m'', ''27h 30m'', ''14h 20m'']'
SBBE;SBMO;[1465, 1555, 1581];'[''16h 20m'', ''16h 20m'', ''9h 40m'']'
SBBE;SBEG;[170, 195, 225, 260];'[''2h'', ''2h 5m'', ''2h'', ''2h 5m'']'
SBBE;SBTT;[781, 861];'[''3h 50m'', ''3h 50m'']'
SBBE;SBMQ;[130, 185, 276, 280];'[''1h'', ''1h'', ''55m'', ''1h'']'
SBBE;SNBR;[709, 774, 780, 845];'[''16h 45m'', ''16h 45m'', ''8h 30m'', ''8h 30m'']'
SBBE;SBIL;[970, 1055, 2100, 2185];'[''17h 40m'', ''17h 40m'', ''7h 5m'', ''7h 5m'']'
SBBE;SBPS;[762, 762, 827, 827];'[''5h 5m'', ''12h 50m'', ''5h 5m'', ''12h 50m'']'
SBBE;SBSV;[313, 383, 433, 508];'[''8h 30m'', ''8h 30m'', ''12h 50m'', ''12h 50m'']'
SBBE;SBQV;[644, 709, 1557, 1622];'[''7h 25m'', ''7h 25m'', ''10h 45m'', ''10h 45m'']'
SBBE;SBFZ;[186, 241, 294, 359];'[''1h 55m'', ''1h 55m'', ''1h 50m'', ''1h 50m'']'
SBBE;SBJU;[1100, 1165, 2028, 2178];'[''8h 40m'', ''8h 40m'', ''19h 25m'', ''19h 25m'']'
SBBE;SBBR;[762, 800, 827, 838];'[''6h 5m'', ''5h 55m'', ''6h 5m'', ''2h 35m'', ''2h 35m'']'
SBBE;SBVT;[486, 504, 510, 551];'[''12h 10m'', ''8h 20m'', ''5h 50m'', ''12h 10m'']'
SBBE;SBCN;[1207, 1272];'[''10h 30m'', ''10h 30m'']'
SBBE;SBGO;[545, 620, 765, 736];'[''15h 20m'', ''15h 20m'', ''5h 40m'', ''11h 30m'']'
SBBE;SBIZ;[890, 983, 965, 1058];'[''21h'', ''21h'', ''21h'', ''21h'']'
SBBE;SBSL;[380, 460, 1131, 1131];'[''1h'', ''1h'', ''8h 45m'', ''10h 10m'']'
SBBE;SBCF;[574, 828, 628, 639];'[''12h 20m'', ''3h 10m'', ''9h 20m'', ''12h 20m'']'
SBBE;SBGV;[1061, 1141];'[''6h 45m'', ''6h 45m'']'
SBBE;SBMK;[563, 597, 628, 677];'[''9h 20m'', ''6h 50m'', ''9h 20m'', ''6h 50m'']'
SBBE;SBIP;[1127, 1207];'[''6h 55m'', ''6h 55m'']'
SBBE;SBUR;[1055, 1135];'[''9h 5m'', ''9h 5m'']'
SBBE;SBUL;[799, 816, 879, 896];'[''12h 25m'', ''13h 30m'', ''12h 25m'', ''13h 30m'']'
SBBE;SBCG;[457, 529, 536, 522];'[''11h 45m'', ''5h 50m'', ''26h 10m'', ''11h 45m'']'
SBBE;SBAT;[952, 1032];'[''21h 5m'', ''21h 5m'']'
SBBE;SWSI;[925, 1005];'[''18h 30m'', ''18h 30m'']'
SBBE;SBCY;[753, 797, 823, 829];'[''20h 5m'', ''6h 30m'', ''20h 5m'', ''6h 55m'']'
SBBE;SBHT;[280, 355];'[''1h 10m'', ''1h 10m'']'
SBBE;SBMA;[417, 441, 497, 521];'[''1h'', ''1h'', ''1h'', ''1h'']'
SBBE;SBSN;[404, 423, 484, 488];'[''1h 20m'', ''1h 20m'', ''1h 20m'', ''1h 20m'']'
SBBE;SBJP;[793, 793, 825, 853];'[''17h 5m'', ''17h 5m'', ''4h 5m'', ''17h 5m'']'
SBBE;SBFN;[1544, 1624, 1800, 1865];'[''4h 50m'', ''4h 50m'', ''5h 15m'', ''5h 15m'']'
SBBE;SBRF;[481, 536, 775, 828];'[''13h 35m'', ''13h 35m'', ''11h 50m'', ''2h 35m'']'
SBBE;SBTE;[676, 700, 700, 741];'[''2h 25m'', ''9h 55m'', ''11h 5m'', ''2h 25m'']'
SBBE;SBCA;[648, 728, 745, 810];'[''9h 5m'', ''9h 5m'', ''6h 20m'', ''6h 20m'']'
SBBE;SBCT;[617, 623, 617, 682];'[''14h 10m'', ''6h 5m'', ''12h 30m'', ''14h 10m'']'
SBBE;SBFI;[808, 889, 893, 898];'[''10h 5m'', ''9h 30m'', ''10h 5m'', ''11h 20m'']'
SBBE;SBLO;[951, 951, 951, 1031];'[''12h 15m'', ''12h 15m'', ''15h 10m'', ''12h 50m'']'
SBBE;SBMG;[418, 483, 600, 665];'[''16h 45m'', ''16h 45m'', ''8h 50m'', ''8h 50m'']'
SBBE;SBCB;[929, 1009];'[''7h 30m'', ''7h 30m'']'
SBBE;SBGL;[620, 700, 906, 971];'[''10h 20m'', ''10h 20m'', ''4h 55m'', ''4h 55m'']'
SBBE;SBSG;[652, 652, 722, 749];'[''16h 30m'', ''16h 30m'', ''16h 30m'', ''3h 20m'']'
SBBE;SSKW;[1138, 1218];'[''21h 15m'', ''21h 15m'']'
SBBE;SBPV;[798, 798, 868, 868];'[''19h 55m'', ''19h 55m'', ''19h 55m'', ''19h 55m'']'
SBBE;SBVH;[1145, 1225];'[''21h 5m'', ''21h 5m'']'
SBBE;SBBV;[461, 520, 526, 585];'[''12h 10m'', ''7h 25m'', ''12h 10m'', ''7h 25m'']'
SBBE;SBPF;[1002, 1067];'[''6h 35m'', ''6h 35m'']'
SBBE;SBPA;[617, 617, 647, 682];'[''7h 50m'', ''11h 15m'', ''6h 15m'', ''7h 50m'']'
SBBE;SBCH;[670, 735];'[''5h 50m'', ''5h 50m'']'
SBBE;SBFL;[564, 592, 564, 629];'[''26h 35m'', ''8h'', ''25h 5m'', ''26h 35m'']'
SBBE;SBJV;[686, 751, 951, 1046];'[''17h'', ''17h'', ''7h 55m'', ''7h 55m'']'
SBBE;SBNF;[503, 568, 578, 643];'[''12h 35m'', ''12h 35m'', ''9h 35m'', ''9h 35m'']'
SBBE;SBAR;[873, 873, 933, 938];'[''16h 25m'', ''26h 35m'', ''26h 35m'', ''16h 25m'']'
SBBE;SBKP;[799, 864, 1185, 1235];'[''3h 35m'', ''3h 35m'', ''5h 20m'', ''6h 30m'']'
SBBE;SBGR;[461, 526, 648, 712];'[''3h 30m'', ''3h 30m'', ''3h 35m'', ''3h 45m'']'
SBBE;SBDN;[1093, 1158];'[''6h 55m'', ''6h 55m'']'
SBBE;SBRP;[778, 823, 856, 873];'[''7h 30m'', ''15h 25m'', ''7h 35m'', ''7h 30m'']'
SBBE;SBSR;[581, 610, 666, 640];'[''27h 55m'', ''9h 35m'', ''27h 55m'', ''13h 10m'']'
SBBE;SBSP;[671, 756, 804, 806];'[''10h 45m'', ''10h 45m'', ''5h'', ''5h'', ''21h 15m'']'
SBBE;SWGN;[1504, 1569];'[''23h 15m'', ''23h 15m'']'
SBBE;SBPJ;[905, 914, 905, 979];'[''13h 40m'', ''7h 50m'', ''13h 40m'', ''7h 50m'']'
SBBE;SBRJ;[847, 847, 937, 942];'[''10h 30m'', ''12h 25m'', ''17h 20m'', ''10h 30m'']'
SBRF;SBCZ;[1079, 1144];'[''8h 35m'', ''8h 35m'']'
SBRF;SBRB;[936, 1016, 1076, 1141];'[''12h 50m'', ''12h 50m'', ''6h 55m'', ''6h 55m'']'
SBRF;SBEG;[495, 550, 599, 632];'[''15h'', ''15h'', ''8h'', ''7h 25m'']'
SBRF;SBMQ;[859, 859, 929, 929];'[''19h 50m'', ''19h 50m'', ''19h 50m'', ''19h 50m'']'
SBRF;SNBR;[805, 870, 885, 950];'[''16h 45m'', ''16h 45m'', ''7h 25m'', ''7h 25m'']'
SBRF;SBIL;[869, 934, 1738, 1803];'[''5h 40m'', ''5h 40m'', ''6h 10m'', ''6h 10m'']'
SBRF;SBPS;[1164, 1229, 1967, 2017];'[''5h 15m'', ''5h 15m'', ''8h 40m'', ''4h 30m'']'
SBRF;SBSV;[204, 226, 251, 284];'[''1h 35m'', ''1h 30m'', ''1h 30m'', ''1h 20m'', ''1h 35m'']'
SBRF;SBQV;[564, 630, 875, 940];'[''6h 20m'', ''6h 20m'', ''7h 30m'', ''7h 30m'']'
SBRF;SBFZ;[81, 81, 115, 136];'[''1h 20m'', ''1h 20m'', ''1h 25m'', ''1h 20m'']'
SBRF;SBJU;[630, 715, 834, 899];'[''1h 30m'', ''1h 30m'', ''17h 20m'', ''17h 20m'']'
SBRF;SBBR;[130, 205, 262, 286];'[''2h 45m'', ''2h 45m'', ''2h 45m'', ''2h 35m'']'
SBRF;SBVT;[190, 265, 527, 592];'[''2h 20m'', ''2h 20m'', ''6h 25m'', ''6h 25m'']'
SBRF;SBCN;[1207, 1272];'[''6h 55m'', ''6h 55m'']'
SBRF;SBGO;[737, 802, 767, 1246, 793];'[''4h 25m'', ''4h 25m'', ''4h 35m'', ''2h 45m'', ''5h 50m'']'
SBRF;SWLC;[985, 1065];'[''10h 45m'', ''10h 45m'']'
SBRF;SBIZ;[964, 1044];'[''7h 55m'', ''7h 55m'']'
SBRF;SBSL;[564, 644, 755, 820];'[''2h'', ''2h'', ''14h 35m'', ''14h 35m'']'
SBRF;SBCF;[694, 730, 759, 770];'[''2h 40m'', ''4h 40m'', ''2h 40m'', ''2h 30m'']'
SBRF;SBGV;[775, 855, 1285, 1365];'[''13h 35m'', ''13h 35m'', ''4h 20m'', ''4h 20m'']'
SBRF;SBJF;[678, 758, 1058, 1138];'[''20h 20m'', ''20h 20m'', ''7h 55m'', ''7h 55m'']'
SBRF;SBMK;[719, 791, 799, 837];'[''13h 40m'', ''10h 50m'', ''13h 40m'', ''4h 25m'']'
SBRF;SBIP;[815, 895, 896, 976];'[''5h 40m'', ''5h 40m'', ''4h 30m'', ''4h 30m'']'
SBRF;SBUR;[808, 888];'[''6h 40m'', ''6h 40m'']'
SBRF;SBUL;[774, 864, 802, 825, 848];'[''27h'', ''27h'', ''6h 35m'', ''6h 10m'', ''5h 25m'']'
SBRF;SBCG;[955, 958, 958, 1020];'[''10h 35m'', ''6h 15m'', ''15h 25m'', ''10h 35m'']'
SBRF;SBCR;[1191, 1271, 1310, 1390];'[''10h 35m'', ''10h 35m'', ''7h 20m'', ''7h 20m'']'
SBRF;SBAT;[1032, 1112, 1997, 2102];'[''5h 30m'', ''5h 30m'', ''21h 15m'', ''21h 15m'']'
SBRF;SWSI;[1053, 1133, 1158, 1238];'[''20h 40m'', ''20h 40m'', ''11h 10m'', ''11h 10m'']'
SBRF;SBCY;[752, 797, 804, 817];'[''15h 20m'', ''7h'', ''3h 35m'', ''15h 20m'']'
SBRF;SBHT;[1355, 1435];'[''5h 25m'', ''5h 25m'']'
SBRF;SBBE;[672, 752, 825, 861];'[''2h 40m'', ''2h 40m'', ''11h 15m'', ''6h'']'
SBRF;SBMA;[798, 873, 981, 998];'[''9h 20m'', ''9h 20m'', ''5h 35m'', ''23h 35m'']'
SBRF;SBCJ;[1444, 1519, 1644, 1719];'[''17h 50m'', ''17h 50m'', ''17h 45m'', ''17h 45m'']'
SBRF;SBSN;[1410, 1485, 1499, 1499];'[''5h 10m'', ''5h 10m'', ''22h 10m'', ''22h 10m'']'
SBRF;SBJP;[500, 550, 580, 630];'[''40m'', ''40m'', ''40m'', ''40m'', ''40m'', ''40m'']'
SBRF;SBKG;[855, 920];'[''8h 15m'', ''8h 15m'']'
SBRF;SBFN;[613, 693, 790, 870];'[''1h 10m'', ''1h 10m'', ''1h 40m'', ''1h 40m'']'
SBRF;SBPL;[351, 416, 903, 968];'[''1h 20m'', ''1h 20m'', ''7h 40m'', ''7h 40m'']'
SBRF;SBTE;[300, 380, 809, 884];'[''1h 40m'', ''1h 40m'', ''7h 20m'', ''7h 20m'']'
SBRF;SBCA;[704, 775, 784, 816];'[''10h 45m'', ''12h 25m'', ''10h 45m'', ''9h 25m'']'
SBRF;SBCT;[700, 770, 741, 780];'[''5h 5m'', ''6h 50m'', ''8h 5m'', ''5h 5m'']'
SBRF;SBFI;[786, 851, 792, 792, 831];'[''15h'', ''15h'', ''9h 55m'', ''5h 40m'', ''15h 35m'']'
SBRF;SBLO;[522, 548, 587, 613];'[''11h 10m'', ''8h'', ''11h 10m'', ''8h'']'
SBRF;SBMG;[905, 957, 977, 985];'[''8h 35m'', ''6h'', ''10h 50m'', ''8h 35m'']'
SBRF;SBCB;[736, 810, 816, 890];'[''17h 10m'', ''6h 25m'', ''17h 10m'', ''6h 25m'']'
SBRF;SBGL;[570, 736, 635, 645];'[''16h 40m'', ''3h'', ''27h 45m'', ''16h 40m'']'
SBRF;SBSG;[391, 471, 429, 429, 449];'[''1h'', ''1h'', ''1h'', ''8h 50m'', ''2h 55m'']'
SBRF;SBPV;[728, 793, 833, 837];'[''8h 30m'', ''8h 30m'', ''13h 5m'', ''10h 40m'']'
SBRF;SBVH;[1521, 1601, 1673, 1753];'[''23h 15m'', ''23h 15m'', ''10h 5m'', ''10h 5m'']'
SBRF;SBBV;[1114, 1204, 1209, 1225];'[''15h 45m'', ''16h 20m'', ''15h 45m'', ''11h 35m'']'
SBRF;SBCX;[709, 774, 815, 880];'[''15h 35m'', ''15h 35m'', ''8h'', ''8h'']'
SBRF;SBPF;[786, 865, 867, 946];'[''15h 30m'', ''8h 5m'', ''15h 30m'', ''8h 5m'']'
SBRF;SBPA;[647, 675, 712, 722];'[''6h 20m'', ''5h 20m'', ''7h 30m'', ''6h 20m'']'
SBRF;SBCH;[794, 859, 1019, 1084];'[''20h 25m'', ''20h 25m'', ''20h 25m'', ''20h 25m'']'
SBRF;SBFL;[741, 757, 804, 816];'[''7h 40m'', ''5h 25m'', ''6h 50m'', ''7h 40m'']'
SBRF;SBJV;[478, 543, 595, 660];'[''8h 10m'', ''8h 10m'', ''7h 5m'', ''7h 5m'']'
SBRF;SBNF;[627, 658, 661, 693];'[''13h 55m'', ''7h'', ''27h 10m'', ''13h 55m'']'
SBRF;SBAR;[279, 310, 359, 372];'[''1h 20m'', ''1h 20m'', ''1h 20m'', ''1h 15m'']'
SBRF;SBAU;[768, 848, 900, 985];'[''16h 10m'', ''16h 10m'', ''7h 30m'', ''7h 30m'']'
SBRF;SBKP;[661, 734, 741, 814];'[''3h 10m'', ''3h 15m'', ''3h 10m'', ''3h 15m'']'
SBRF;SBGR;[528, 593, 594, 659];'[''3h 25m'', ''3h 25m'', ''3h 20m'', ''3h 5m'']'
SBRF;SBML;[599, 652, 679, 732];'[''15h 5m'', ''7h 20m'', ''15h 5m'', ''7h 20m'']'
SBRF;SBDN;[652, 717, 808, 883];'[''15h 30m'', ''15h 30m'', ''8h 10m'', ''8h 10m'']'
SBRF;SBRP;[615, 668, 677, 680];'[''9h 55m'', ''12h 50m'', ''6h 20m'', ''9h 55m'']'
SBRF;SBSR;[610, 664, 664, 675];'[''7h 25m'', ''11h 5m'', ''5h'', ''7h 25m'']'
SBRF;SBSP;[466, 669, 526, 531];'[''6h 15m'', ''3h 20m'', ''5h'', ''6h 15m'']'
SBRF;SWGN;[1726, 1791];'[''17h 45m'', ''17h 45m'']'
SBRF;SBPJ;[480, 545, 845, 868];'[''2h 35m'', ''2h 35m'', ''6h 20m'', ''6h 25m'']'
SBRF;SBRJ;[689, 689, 754, 768];'[''20h 20m'', ''20h 20m'', ''20h 20m'', ''10h 50m'']'
SBCT;SBCZ;[1079, 1144];'[''7h 40m'', ''7h 40m'']'
SBCT;SBRB;[1014, 1014, 1079, 1089];'[''9h 45m'', ''28h 20m'', ''15h 10m'', ''9h 45m'']'
SBCT;SBMO;[1150, 1150, 1225, 1225];'[''10h 50m'', ''10h 50m'', ''10h 50m'', ''10h 50m'']'
SBCT;SBEG;[643, 643, 728, 734];'[''28h 35m'', ''28h 35m'', ''28h 35m'', ''6h'']'
SBCT;SBMQ;[992, 1030, 1077, 1125];'[''16h 15m'', ''13h 20m'', ''16h 15m'', ''13h 20m'']'
SBCT;SNBR;[600, 665, 744, 809];'[''15h 15m'', ''15h 15m'', ''18h 30m'', ''18h 30m'']'
SBCT;SBIL;[830, 884, 920, 974];'[''6h 30m'', ''5h 50m'', ''6h 30m'', ''5h 50m'']'
SBCT;SBPS;[420, 480, 548, 613];'[''5h 55m'', ''5h 55m'', ''17h 10m'', ''17h 10m'']'
SBCT;SBSV;[718, 808, 718, 724, 724];'[''4h 25m'', ''4h 25m'', ''7h 20m'', ''6h 5m'', ''6h 5m'']'
SBCT;SNVB;[2100, 2185];'[''6h 40m'', ''6h 40m'']'
SBCT;SBQV;[787, 852, 2000];'[''7h 30m'', ''7h 30m'', ''4h 45m'']'
SBCT;SBFZ;[600, 755, 670, 670, 752];'[''14h 5m'', ''8h 40m'', ''8h 40m'', ''11h 25m'', ''5h 5m'']'
SBCT;SBJU;[620, 685, 737, 802];'[''6h 50m'', ''6h 50m'', ''15h 10m'', ''15h 10m'']'
SBCT;SBBR;[443, 508, 443, 465, 487];'[''1h 50m'', ''1h 50m'', ''4h 45m'', ''3h 35m'', ''1h 55m'']'
SBCT;SBVT;[138, 180, 203, 245];'[''4h 20m'', ''3h 5m'', ''4h 20m'', ''3h 5m'']'
SBCT;SBCN;[1207, 1272];'[''4h 50m'', ''4h 50m'']'
SBCT;SBGO;[261, 645, 580, 609, 609];'[''19h 50m'', ''3h 40m'', ''3h 40m'', ''3h 35m'', ''7h 25m'']'
SBCT;SBIZ;[690, 690, 775];'[''5h 5m'', ''9h 25m'', ''5h 5m'']'
SBCT;SBSL;[607, 647, 647, 692];'[''6h 35m'', ''15h 30m'', ''14h 40m'', ''6h 35m'']'
SBCT;SBCF;[450, 530, 459, 490, 495];'[''3h'', ''3h'', ''3h 5m'', ''3h 5m'', ''2h 55m'', ''3h'']'
SBCT;SBGV;[987, 1067, 1991, 2078];'[''6h 50m'', ''6h 50m'', ''5h 55m'', ''5h 55m'']'
SBCT;SBJF;[751, 831];'[''3h 35m'', ''3h 35m'']'
SBCT;SBMK;[536, 608, 616, 673];'[''6h 55m'', ''7h 10m'', ''6h 55m'', ''7h 10m'']'
SBCT;SBIP;[716, 788, 796, 868];'[''6h 35m'', ''7h'', ''6h 35m'', ''7h'']'
SBCT;SBUR;[309, 389];'[''6h 15m'', ''6h 15m'']'
SBCT;SBUL;[460, 505, 535, 539];'[''3h 30m'', ''4h'', ''3h 30m'', ''18h 55m'']'
SBCT;SBCG;[484, 549, 565, 598];'[''5h 15m'', ''5h 15m'', ''3h 50m'', ''14h 40m'']'
SBCT;SBCR;[828, 908];'[''3h 40m'', ''3h 40m'']'
SBCT;SBAT;[816, 896, 898, 978];'[''19h 35m'', ''19h 35m'', ''5h 35m'', ''5h 35m'']'
SBCT;SWRD;[1921, 1996];'[''26h 55m'', ''26h 55m'']'
SBCT;SWSI;[760, 840, 1397, 1482];'[''17h'', ''17h'', ''5h 5m'', ''5h 5m'']'
SBCT;SBCY;[945, 1025, 1039, 1039];'[''5h 30m'', ''5h 30m'', ''4h 30m'', ''4h 35m'']'
SBCT;SBHT;[2100, 2185];'[''7h 40m'', ''7h 40m'']'
SBCT;SBBE;[703, 716, 703, 773];'[''8h 25m'', ''15h 35m'', ''8h 5m'', ''8h 25m'']'
SBCT;SBMA;[812, 902, 814, 812, 814];'[''10h 5m'', ''10h 5m'', ''20h 10m'', ''10h 5m'', ''20h 10m'']'
SBCT;SBSN;[818, 818, 898, 898];'[''18h 45m'', ''18h 45m'', ''18h 45m'', ''18h 45m'']'
SBCT;SBJP;[870, 916, 935, 916];'[''14h 20m'', ''5h 50m'', ''14h 20m'', ''7h 40m'']'
SBCT;SBKG;[744, 809, 1800, 1865];'[''19h 15m'', ''19h 15m'', ''7h 40m'', ''7h 40m'']'
SBCT;SBFN;[981, 1061, 1800, 1865];'[''18h 35m'', ''18h 35m'', ''7h 15m'', ''7h 15m'']'
SBCT;SBPL;[1800, 1865, 1896, 2046];'[''7h 5m'', ''7h 5m'', ''14h 35m'', ''14h 35m'']'
SBCT;SBRF;[700, 780, 700, 741, 741];'[''6h 15m'', ''6h 15m'', ''11h 45m'', ''12h 40m'', ''11h 45m'']'
SBCT;SBTE;[502, 567, 688, 766];'[''6h 45m'', ''6h 45m'', ''8h 45m'', ''18h 15m'']'
SBCT;SBCA;[320, 400, 597, 662];'[''1h 25m'', ''1h 25m'', ''4h 10m'', ''4h 10m'']'
SBCT;SBFI;[351, 373, 380, 416];'[''5h 25m'', ''1h 15m'', ''1h 40m'', ''5h 25m'']'
SBCT;SBLO;[360, 423, 432, 440];'[''1h 5m'', ''3h 30m'', ''1h'', ''1h 5m'']'
SBCT;SBMG;[230, 263, 280, 310];'[''1h 15m'', ''1h 20m'', ''5h 10m'', ''1h 15m'']'
SBCT;SBGL;[311, 340, 381, 405];'[''1h 25m'', ''1h 20m'', ''1h 25m'', ''1h 20m'']'
SBCT;SBSG;[552, 617, 620, 685];'[''6h 25m'', ''6h 25m'', ''5h'', ''5h'']'
